Andy Warhol,Campbell's Soup Box,293000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F2%2F8%2F9%2F9%2F12899849%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,CampbellsSoupBox
Josef Albers,Study for Homage to the Square,262900,https://dyn1.heritagestatic.com/lf?set=path%5B6%2F4%2F1%2F8%2F6418554%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,StudyforHomagetotheSquare
Mel Ramos ,A Sinister Figure Lurks in the Shadows,173000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F3%2F1%2F2%2F8%2F13128683%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,ASinisterFigureLurksintheShadows
KAWS,Untitled,131250,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F3%2F8%2F8%2F1%2F13881431%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Untitled
George Rodrigue ,Blue Dog,112500,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F2%2F3%2F2%2F3%2F22323284%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,BlueDog
Maynard Dixon,Calico Hills,95600,https://dyn1.heritagestatic.com/lf?set=path%5B6%2F6%2F0%2F4%2F6604745%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,CalicoHills
Patrick Nagel,Geometric Plaid,93750,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F1%2F6%2F1%2F4%2F11614823%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,GeometricPlaid
Jo Baer ,Double Bar Orange,83650,https://dyn1.heritagestatic.com/lf?set=path%5B6%2F5%2F9%2F4%2F6594883%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D ,DoubleBarOrange
LeRoy Neiman,Hawaiian Sailing,81250,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F4%2F8%2F2%2F2%2F24822576%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,HawaiianSailing
Robert Rauschenberg,Treasure,81250,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F0%2F8%2F4%2F2%2F20842341%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Treasure
